instancia,q-medio,q-desvio,tempo,alfa,mutacao,filhos
Western Sahara,40963,2276.3,52.200868484,5,5,5
Western Sahara,41454,1442.4,52.20114529399999,10,5,5
Western Sahara,41184,1036.39,52.20098944399999,15,5,5
Western Sahara,40955,2104.35,52.200988424,20,5,5
Western Sahara,40748,1824.23,52.20103460399997,80,5,5
Western Sahara,40433,1568.92,52.20088141399998,85,5,5
Western Sahara,40354,1130.39,52.200945942999965,90,5,5
Western Sahara,39989,2390.83,52.20115454400002,5,5,10
Western Sahara,40084,1657.67,52.20090049200002,10,5,10
Western Sahara,40555,1706.26,52.20128356399999,15,5,10
Western Sahara,40695,1264.43,52.20092831399995,20,5,10
Western Sahara,39368,1630.39,52.20083115399996,80,5,10
Western Sahara,40533,1512.5,52.200944733999904,85,5,10
Western Sahara,40820,2031.47,52.200817782999934,90,5,10
Western Sahara,40411,2368.66,52.201079263999986,5,5,15
Western Sahara,40910,1510.71,52.20095338400006,10,5,15
Western Sahara,40693,1900.84,52.20094034300007,15,5,15
Western Sahara,41794,1388.43,52.20118615299998,20,5,15
Western Sahara,41168,1136.42,52.20075720300008,80,5,15
Western Sahara,40576,1717.23,52.20108532300003,85,5,15
Western Sahara,40941,1808.07,52.20096399399995,90,5,15
Western Sahara,41083,1510.51,52.20079596400001,5,5,20
Western Sahara,40822,1672.14,52.20086969399995,10,5,20
Western Sahara,40073,1506.86,52.20094775200005,15,5,20
Western Sahara,41274,1701.49,52.20080677400006,20,5,20
Western Sahara,41992,1577.85,52.20088008200014,80,5,20
Western Sahara,39997,1542.62,52.20067155299989,85,5,20
Western Sahara,40721,1950.41,52.20106514400004,90,5,20
Western Sahara,89724,7231.13,52.20080983400021,5,5,85
Western Sahara,92412,6149.7,52.20086467300007,10,5,85
Western Sahara,94443,6558.24,52.20078899400005,15,5,85
Western Sahara,95485,3787.32,52.200911124000186,20,5,85
Western Sahara,92964,7113.48,52.20088564299999,80,5,85
Western Sahara,93503,6819.03,52.20102875400016,85,5,85
Western Sahara,92285,7287.17,52.20092193300002,90,5,85
Western Sahara,91676,6349.97,52.20096481299993,5,5,90
Western Sahara,90461,5551.54,52.20136480499991,10,5,90
Western Sahara,91128,8238.78,52.20103827300022,15,5,90
Western Sahara,96925,6268.32,52.20101111300005,20,5,90
Western Sahara,91702,8572.74,52.20105171399996,80,5,90
